date,open,high,low,close,adj close,volume,rsi,ma
2023-08-23,229.339996,238.979996,229.289993,236.860001,236.860001,101077600,34.2936990225425,258.9174004999999,
2023-08-24,238.660004,238.919998,228.179993,230.039993,230.039993,99777400,33.65357403023455,258.54540037999993,
2023-08-25,231.309998,239.0,230.350006,238.589996,238.589996,106612200,41.8607575213905,258.24840055999994,
2023-08-28,242.580002,244.380005,235.350006,238.820007,238.820007,107673700,42.97883951932989,257.67120026,
2023-08-29,238.580002,257.480011,237.770004,257.179993,257.179993,134047600,58.48522181973781,257.55480042,
2023-08-30,254.199997,260.51001,250.589996,256.899994,256.899994,121988400,56.76339738568199,257.1480002,
2023-08-31,255.979996,261.179993,255.050003,258.079987,258.079987,108861700,59.189991516972874,257.00200014,
2023-09-01,257.26001,259.079987,242.009995,245.009995,245.009995,132272500,52.78869713535894,256.61899996,
2023-09-05,245.0,258.0,244.860001,256.48999,256.48999,129469600,61.906682811458765,256.74880008,
2023-09-06,255.139999,255.389999,245.059998,251.919998,251.919998,116959800,63.7054772852682,256.4629999,
2023-09-07,245.070007,252.809998,243.270004,251.490005,251.490005,115312900,67.91385416785555,256.56439974,
2023-09-08,251.220001,256.519989,246.669998,248.5,248.5,118367700,68.47643847379199,256.60099978,
2023-09-11,264.269989,274.850006,260.609985,273.579987,273.579987,174667900,71.44595547721036,256.63139986000004,
2023-09-12,270.76001,278.390015,266.600006,267.480011,267.480011,135999900,66.676407618528,256.75619966,
2023-09-13,270.070007,274.980011,268.100006,271.299988,271.299988,111673700,66.72494889443236,256.95939974,
2023-09-14,271.320007,276.709991,270.420013,276.040009,276.040009,107709800,72.79938933343826,256.83100008,
2023-09-15,277.549988,278.980011,271.0,274.390015,274.390015,133422800,69.04663177999477,256.68100008000005,
2023-09-18,271.160004,271.440002,263.76001,265.279999,265.279999,101543300,62.862148082820866,256.67019992,
2023-09-19,264.350006,267.850006,261.200012,266.5,266.5,103704000,55.43631207119004,256.52480014,
2023-09-20,267.040009,273.929993,262.459991,262.589996,262.589996,122514600,53.18411048619995,256.28240024,
2023-09-21,257.850006,260.859985,254.210007,255.699997,255.699997,119531000,48.74816368516575,256.25020054000004,
2023-09-22,257.399994,257.790009,244.479996,244.880005,244.880005,127524100,49.929969794618586,255.88060092000003,
2023-09-25,243.380005,247.100006,238.309998,246.990005,246.990005,104636600,44.30729272787139,255.53680088,
2023-09-26,242.979996,249.550003,241.660004,244.119995,244.119995,101993600,45.228770867620156,254.86420078000003,
2023-09-27,244.259995,245.330002,234.580002,240.5,240.5,136597200,43.52996115847294,253.99120060000004,
2023-09-28,240.020004,247.550003,238.649994,246.380005,246.380005,117058900,48.792988183087324,253.07340062000006,
2023-09-29,250.0,254.770004,246.350006,250.220001,250.220001,128346200,32.457201177543055,251.95300052,
2023-10-02,244.809998,254.279999,242.619995,251.600006,251.600006,123810400,37.16456421809792,251.36180056,
2023-10-03,248.610001,250.020004,244.449997,246.529999,246.529999,101985300,30.375557488510765,250.89800052000007,
2023-10-04,248.139999,261.859985,247.600006,261.160004,261.160004,129721600,39.80821980221407,250.75320042000007,
2023-10-05,260.0,263.600006,256.25,260.049988,260.049988,119159200,40.10487378762679,250.26840030000005,
2023-10-06,253.979996,261.649994,250.649994,260.529999,260.529999,117947000,46.279181750863856,250.20340030000006,
2023-10-09,255.309998,261.359985,252.050003,259.670013,259.670013,101377900,44.61951814707636,249.91680026000006,
2023-10-10,257.75,268.940002,257.649994,263.619995,263.619995,122656000,50.81089501971259,249.82580052,
2023-10-11,266.200012,268.600006,260.899994,262.98999,262.98999,103706300,56.366804445378726,249.63120030000002,
2023-10-12,262.920013,265.410004,256.630005,258.869995,258.869995,111508100,63.83776955331647,249.63000034000004,
2023-10-13,258.899994,259.600006,250.220001,251.119995,251.119995,102073800,53.675021068688736,249.77700046,
2023-10-16,250.050003,255.399994,248.479996,253.919998,253.919998,88917200,58.73129105409476,249.91420048000003,
2023-10-17,250.100006,257.179993,247.080002,254.850006,254.850006,93562900,63.42878490939849,249.69580052,
2023-10-18,252.699997,254.630005,242.080002,242.679993,242.679993,125147800,46.902201927822134,249.66880070000002,
2023-10-19,225.949997,230.610001,216.779999,220.110001,220.110001,170772700,30.809439609122933,249.77380070000004,
2023-10-20,217.009995,218.860001,210.419998,211.990005,211.990005,137734000,26.751970791320062,249.27540074,
2023-10-23,210.0,216.979996,202.509995,212.080002,212.080002,150683400,28.525125835604925,248.70760076000002,
2023-10-24,216.5,222.050003,214.110001,216.520004,216.520004,118231100,18.123396047695323,248.07220068000007,
2023-10-25,215.880005,220.100006,212.199997,212.419998,212.419998,107065100,17.38118572147303,247.68820074000007,
2023-10-26,211.320007,214.800003,204.880005,205.759995,205.759995,115112600,15.418605695457416,247.23120092000005,
2023-10-27,210.600006,212.410004,205.770004,207.300003,207.300003,94881200,17.2154729916774,246.89720098,
2023-10-30,209.279999,210.880005,194.669998,197.360001,197.360001,136448200,11.41394662918242,246.58800114000007,
2023-10-31,196.119995,202.800003,194.070007,200.839996,200.839996,118068300,14.970138660773628,246.49120122000008,
2023-11-01,204.039993,205.990005,197.850006,205.660004,205.660004,121661700,20.243836617306684,245.98260106,
2023-11-02,212.970001,219.199997,211.449997,218.509995,218.509995,125987600,32.74786175062236,245.25840092,
2023-11-03,221.149994,226.369995,218.399994,219.960007,219.960007,119281000,31.77330454573797,244.93100102000005,
2023-11-06,223.979996,226.320007,215.0,219.270004,219.270004,117335800,30.854503186331357,244.58080082,
2023-11-07,219.979996,223.119995,215.720001,222.179993,222.179993,116900100,37.74802831709163,244.43420078000003,
2023-11-08,223.149994,224.149994,217.639999,222.110001,222.110001,106584800,51.63505548495386,243.98220066000002,
2023-11-09,219.75,220.800003,206.679993,209.979996,209.979996,142110500,48.457872794961695,243.6736005,
2023-11-10,210.029999,215.380005,205.690002,214.649994,214.649994,130994000,51.8422878022648,242.98460056,
2023-11-13,215.600006,225.399994,211.610001,223.710007,223.710007,140447600,54.83393880800766,242.06560062,
2023-11-14,235.029999,238.139999,230.720001,237.410004,237.410004,149771600,64.88031513534546,241.23240054000001,
2023-11-15,239.289993,246.699997,236.449997,242.839996,242.839996,150354000,72.40754094709084,241.03300052000003,
2023-11-16,239.490005,240.880005,230.960007,233.589996,233.589996,136816800,64.53288771253361,240.7160004,
2023-11-17,232.0,237.389999,226.539993,234.300003,234.300003,142532800,72.74070493128035,240.60440036000003,
2023-11-20,234.039993,237.100006,231.020004,235.600006,235.600006,116320100,71.98886994067942,240.22000034,
2023-11-21,235.039993,243.619995,233.339996,241.199997,241.199997,122288000,72.26258839686945,239.61540042000001,
2023-11-22,242.039993,244.009995,231.399994,234.210007,234.210007,117950600,60.61385458235311,238.90100008,
2023-11-24,233.75,238.75,232.330002,235.449997,235.449997,65125200,60.501692407468106,238.3403998,
2023-11-27,236.889999,238.330002,232.100006,236.080002,236.080002,112031800,61.40589251411305,237.58899966,
2023-11-28,236.679993,247.0,234.009995,246.720001,246.720001,148549900,65.0700156136119,236.77579988000005,
2023-11-29,249.210007,252.75,242.759995,244.139999,244.139999,135401300,63.12403199085255,236.08619966000003,
2023-11-30,245.139999,245.220001,236.910004,240.080002,240.080002,132353200,69.83918557114382,235.78339968,
2023-12-01,233.139999,240.190002,231.899994,238.830002,238.830002,121173500,66.68968296045779,235.34539948000005,
2023-12-04,235.75,239.369995,233.289993,235.580002,235.580002,104099800,58.907398926906374,234.85119934000002,
2023-12-05,233.869995,246.660004,233.699997,238.720001,238.720001,137971100,51.16818047448747,234.41819945999995,
2023-12-06,242.919998,246.570007,239.169998,239.369995,239.369995,126436200,46.61727183071263,234.22799925999996,
2023-12-07,241.550003,244.080002,236.979996,242.639999,242.639999,107142300,59.986765388403036,234.22679929999998,
2023-12-08,240.270004,245.270004,239.270004,243.839996,243.839996,102980100,60.41484611420389,234.17259946,
2023-12-11,242.740005,243.440002,237.449997,239.740005,239.740005,97913900,54.25926182365709,234.17759945999995,
2023-12-12,238.550003,238.990005,233.869995,237.009995,237.009995,95328300,45.41875790974578,234.03239955999993,
2023-12-13,234.190002,240.300003,228.199997,239.289993,239.289993,145825100,56.192086462438105,233.90719965999995,
